"qr_url","line1","line2"
"https://db.sheboyganlights.org/scan/DISP/357","SL-SledPanel-11",""
"https://db.sheboyganlights.org/scan/DISP/362","SL-SledPanel-12",""
"https://db.sheboyganlights.org/scan/DISP/338","SL-SledPanel-13",""
"https://db.sheboyganlights.org/scan/DISP/350","SL-SledPanel-14",""
"https://db.sheboyganlights.org/scan/DISP/365","SL-SledPanel-15",""
"https://db.sheboyganlights.org/scan/DISP/363","SL-SledPanel-16",""
"https://db.sheboyganlights.org/scan/DISP/355","SL-SledPanel-17",""
"https://db.sheboyganlights.org/scan/DISP/367","SL-SledPanel-18",""
"https://db.sheboyganlights.org/scan/DISP/342","SL-SledPanel-19",""
"https://db.sheboyganlights.org/scan/DISP/343","SL-SledSnowpile-01",""
"https://db.sheboyganlights.org/scan/DISP/352","SL-SledSnowPile-02",""
"https://db.sheboyganlights.org/scan/DISP/980","QV-Bright-01",""
"https://db.sheboyganlights.org/scan/DISP/977","QV-Making-01",""
"https://db.sheboyganlights.org/scan/DISP/982","QV-SHRCandle",""
"https://db.sheboyganlights.org/scan/DISP/981","QV-SHRSnowman",""
"https://db.sheboyganlights.org/scan/DISP/979","QV-SHRStocking",""
"https://db.sheboyganlights.org/scan/DISP/983","QV-Spirits-01",""
"https://db.sheboyganlights.org/scan/DISP/978","QV-Stocking-01",""
"https://db.sheboyganlights.org/scan/DISP/309","CH-RGBCandyCane-01",""
"https://db.sheboyganlights.org/scan/DISP/326","CH-RGBCandyCane-02",""
"https://db.sheboyganlights.org/scan/DISP/331","CH-RGBCandyCane-03",""
"https://db.sheboyganlights.org/scan/DISP/322","CH-RGBCandyCane-04",""
"https://db.sheboyganlights.org/scan/DISP/328","CH-RGBCandyCane-05",""
"https://db.sheboyganlights.org/scan/DISP/333","CH-RGBCandyCane-06",""
"https://db.sheboyganlights.org/scan/DISP/325","CH-RGBCandyCane-07",""
"https://db.sheboyganlights.org/scan/DISP/320","CH-RGBCandyCane-08",""
"https://db.sheboyganlights.org/scan/DISP/317","CH-RGBTree-Star",""
"https://db.sheboyganlights.org/scan/DISP/116","CL-RGBCandyCane-01",""
"https://db.sheboyganlights.org/scan/DISP/73","CL-RGBCandyCane-02",""
"https://db.sheboyganlights.org/scan/DISP/92","CL-RGBCandyCane-03",""
"https://db.sheboyganlights.org/scan/DISP/84","CL-RGBCandyCane-04",""
"https://db.sheboyganlights.org/scan/DISP/80","CL-RGBCandyCane-05",""
"https://db.sheboyganlights.org/scan/DISP/98","CL-RGBCandyCane-06",""
"https://db.sheboyganlights.org/scan/DISP/78","CL-RGBCandyCane-07",""
"https://db.sheboyganlights.org/scan/DISP/76","CL-RGBCandyCane-08",""
"https://db.sheboyganlights.org/scan/DISP/106","CL-RGBCandyCane-09",""
"https://db.sheboyganlights.org/scan/DISP/94","CL-RGBCandyCane-10",""
"https://db.sheboyganlights.org/scan/DISP/89","CL-RGBCandyCane-11",""
"https://db.sheboyganlights.org/scan/DISP/105","CL-RGBCandyCane-12",""
"https://db.sheboyganlights.org/scan/DISP/905","CL-CandylandArch","-DS-Male"
"https://db.sheboyganlights.org/scan/DISP/1007","CL-CandylandArch","-PS-Female"
"https://db.sheboyganlights.org/scan/DISP/677","FC-ArchLane-01-Blu",""
"https://db.sheboyganlights.org/scan/DISP/676","FC-ArchLane-01-Wht",""
"https://db.sheboyganlights.org/scan/DISP/680","FC-ArchLane-02-Blu",""
"https://db.sheboyganlights.org/scan/DISP/660","FC-ArchLane-02-Wht",""
"https://db.sheboyganlights.org/scan/DISP/721","FC-CarCounterArch","-Grn-DS"
"https://db.sheboyganlights.org/scan/DISP/716","FC-CarCounterArch","-Grn-PS"
"https://db.sheboyganlights.org/scan/DISP/669","FC-CarCounterArch","-Red-DS"
"https://db.sheboyganlights.org/scan/DISP/671","FC-CarCounterArch","-Red-PS"
"https://db.sheboyganlights.org/scan/DISP/8","IT-EntryArch-DS",""
"https://db.sheboyganlights.org/scan/DISP/485","IT-EntryArch-PS",""
"https://db.sheboyganlights.org/scan/DISP/521","IT-ExitArch-DS",""
"https://db.sheboyganlights.org/scan/DISP/503","IT-ExitArch-PS",""
"https://db.sheboyganlights.org/scan/DISP/582","PB-Steel","-ArchSupport-Center"
"https://db.sheboyganlights.org/scan/DISP/605","PB-Steel","-ArchSupport-DS-M"
"https://db.sheboyganlights.org/scan/DISP/585","PB-Steel","-ArchSupport-PS-F"
"https://db.sheboyganlights.org/scan/DISP/843","CH-Nativity","-SceneStand-01"
"https://db.sheboyganlights.org/scan/DISP/865","CH-Nativity-01-Camel",""
"https://db.sheboyganlights.org/scan/DISP/841","CH-Nativity","-01-Wiseman-01"
"https://db.sheboyganlights.org/scan/DISP/842","CH-Nativity","-01-Wiseman-02"
"https://db.sheboyganlights.org/scan/DISP/868","CH-Nativity","-02-Wiseman"
"https://db.sheboyganlights.org/scan/DISP/855","CH-Nativity-03-Bull",""
"https://db.sheboyganlights.org/scan/DISP/851","CH-Nativity","-03-DrummerBoy"
"https://db.sheboyganlights.org/scan/DISP/866","CH-Nativity","-03-Lamb-01"
"https://db.sheboyganlights.org/scan/DISP/867","CH-Nativity","-03-Lamb-02"
"https://db.sheboyganlights.org/scan/DISP/835","CH-Nativity","-03-Shepherd-01"
"https://db.sheboyganlights.org/scan/DISP/836","CH-Nativity","-03-Shepherd-02"
"https://db.sheboyganlights.org/scan/DISP/854","CH-Nativity","-04-Donkey"
"https://db.sheboyganlights.org/scan/DISP/361","SL-SledPoof-LH-01",""
"https://db.sheboyganlights.org/scan/DISP/358","SL-SledPoof-LH-02",""
"https://db.sheboyganlights.org/scan/DISP/344","SL-SledPoof-LH-03",""
"https://db.sheboyganlights.org/scan/DISP/360","SL-SledPoof-LH-04",""
"https://db.sheboyganlights.org/scan/DISP/366","SL-SledPoof-RH-01",""
"https://db.sheboyganlights.org/scan/DISP/364","SL-SledPoof-RH-02",""
"https://db.sheboyganlights.org/scan/DISP/351","SL-SledPoof-RH-03",""
"https://db.sheboyganlights.org/scan/DISP/359","SL-SledPoof-RH-04",""
